id,composition,Eg
633,Nd2H16S3O20,5.4563
634,P1H5N1O3F1,5.2946
635,Ba1Dy1Fe2O5,0.8398999999999996
636,Li3Ni1P1C1O7,4.0121
637,Ti1P2O7,2.7356
638,Na1Ag3O2,0.6596
639,Ba1H8O5,4.8099
640,Co10Ge3O16,0.0343
641,Th1Zr1F8,5.6768
642,Sr4As3,0.5853999999999999
643,Na1Sc1Cl4,3.8132
644,Co2Ge3Te3,0.7490000000000006
645,Cs1Ti2I7,0.19019999999999992
646,K1Au1S5,1.7509
647,Sm1S1F1,1.2296999999999998
648,Ca1Cr2O4,2.7849000000000004
649,Nd1Tl1P4O12,5.2239
650,Cs2Cu1O2,0.014600000000000168
651,K1Cr1Cu1F6,0.3488
652,Tl1Cu1P1O4,0.010299999999999976
653,Rb2Th1P3Se9,1.3674
654,Mn1P4O11,4.2326
655,V2Cu2O7,0.007299999999999973
656,Mg2P1Cl1O4,5.0411
657,K6Co1Mo5O19,2.805
658,Ba2Ni2Cl1F7,4.0759
659,Cs2K2Te1O5,2.0249
660,Sr1Zr1O3,3.3637000000000006
661,Al1P1O4,5.5478000000000005
662,Li4Zn1P2O8,4.676
663,Li5Ga1O2,0.5954
664,Ca3W1Cl2O5,3.9325
665,Li1Al1Si1O4,4.6936
666,Eu2B5Br1O9,0.8801000000000005
667,Na4U1C3O11,2.1348000000000003
668,Pb1I2,2.4098
669,K2Sn1Br6,1.1709
670,Ti1Br4,2.7939
671,K5Ag2As3Se9,0.9520000000000001
672,Pr6Co1Br10,0.10279999999999978
673,Tl1I1,2.2086
674,Cd1I2,2.4567
675,Ba2V1I5O17,2.8485
676,Dy1H6C6Cl3O9F6,4.2831
677,Cs1Hg2Br5,1.9907
678,Pb1N6,2.2879000000000005
679,Na2Hf1H6O6,4.3874
680,K3Cu1C4N4,4.1662
681,Ca1Ce1C2O6F1,0.08029999999999937
682,Re2Hg5O10,1.1042999999999998
683,Lu3Nb1O7,2.0609
684,Na4Al3Ge3N1O15,0.010000000000000007
685,Na1Li1S1O4,5.5381
686,Ba1Ga2O4,3.0273000000000003
687,P1C2S2N3,3.2771
688,Ti3Fe7O15,1.1263
689,K3H1Rh1C5N5O1,3.8356
690,Li2Ti1Cr1P3O12,2.4212
691,Cu1H9C1S1N4Cl3O1,1.4082
692,Na1P1H4O5,4.9949
693,Ca1Gd2O4,3.2602
694,Ba1La2O4,2.6914
695,V1O1F2,1.0798
